"e","a","q","i"
0.0758,2.758,2.549,5.80
0.1603,2.699,2.267,9.05
0.1600,2.569,2.158,4.79
0.2558,2.589,1.927,14.41
0.1293,2.261,1.969,6.77
0.1732,2.686,2.221,11.62
0.1407,2.397,2.060,10.26
0.1420,2.301,1.974,7.37
0.0689,2.622,2.442,11.68
0.1379,2.279,1.965,6.63
0.0286,2.418,2.349,12.05
0.3053,3.153,2.191,27.01
0.1932,2.272,1.833,6.67
0.1660,2.297,1.915,8.31
0.1992,2.801,2.243,7.55
0.2077,2.57,2.036,15.21
0.1323,3.117,2.705,1.05
0.1781,2.313,1.901,5.29
0.1689,2.757,2.291,10.13
0.2147,2.585,2.030,9.06
0.1970,2.557,2.053,13.82
0.1496,3.137,2.668,10.02
0.1258,2.603,2.276,14.65
0.1147,2.411,2.135,5.85
0.0189,2.971,2.914,9.70
0.0500,2.576,2.447,15.34
0.0598,2.817,2.649,12.89
0.1618,3.197,2.680,0.37
0.1995,2.796,2.239,5.29
0.1377,2.295,1.979,5.59
0.2186,2.646,2.068,5.00
0.1051,2.606,2.332,14.54
0.0666,2.346,2.190,6.05
0.0909,2.549,2.318,14.36
0.2754,2.69,1.949,14.53
0.1263,2.626,2.294,12.37
0.1806,2.583,2.117,14.22
0.0501,2.619,2.488,0.43
0.2114,2.685,2.117,13.97
0.1302,2.278,1.982,4.85
0.0651,2.901,2.712,3.32
0.2013,2.326,1.858,7.48
0.1061,2.276,2.035,6.80
0.1257,3.058,2.674,10.23
0.2230,2.602,2.022,9.61
0.0573,2.723,2.567,4.80
0.1333,2.559,2.218,16.11
0.0520,2.975,2.820,10.81
0.0885,2.84,2.589,2.86
0.0290,2.528,2.455,2.01
0.0267,3.035,2.953,9.86
0.0707,2.323,2.159,6.94
0.1606,1.99,1.671,19.25
0.2340,2.683,2.055,4.69
0.1400,3.208,2.759,1.67
0.0889,2.636,2.401,14.59
0.0701,2.741,2.549,3.27
0.0422,2.933,2.809,8.70
0.2103,2.411,1.904,6.19
0.3154,2.787,1.908,14.90
0.1199,2.742,2.413,5.09
0.0527,2.406,2.279,5.26
0.1435,2.352,2.014,6.89
0.1414,3.045,2.615,9.26
0.1543,2.29,1.937,6.39
0.1184,3.032,2.673,11.64
0.1392,2.567,2.210,4.40
0.1916,2.454,1.984,1.84
0.1113,2.35,2.088,4.35
0.0140,2.894,2.854,2.42
0.1844,2.571,2.097,16.30
0.1612,2.635,2.210,14.38
0.2203,3.17,2.472,14.03
0.1318,2.813,2.443,10.32
0.2041,2.644,2.105,11.83
0.0524,2.904,2.752,2.65
0.0635,2.829,2.649,2.77
0.1507,3.223,2.737,0.81
0.1094,2.415,2.151,5.41
0.1686,2.669,2.219,11.63
0.1999,2.434,1.947,4.85
0.1099,2.532,2.253,12.55
0.1556,2.444,2.063,3.29
0.1956,2.449,1.970,3.73
0.1115,2.678,2.380,12.50
0.0976,2.785,2.513,10.22
0.0962,2.543,2.299,6.10
0.1414,2.56,2.198,8.45
0.1139,2.398,2.125,5.54
0.1821,2.667,2.181,13.03
0.1496,2.601,2.212,14.66
0.2826,2.791,2.003,17.25
0.1976,2.562,2.056,5.94
0.1856,2.56,2.085,8.31
0.0957,2.721,2.460,3.13
0.0874,2.714,2.477,7.89
0.0331,2.788,2.695,3.46
0.1673,2.545,2.119,12.96
0.0829,2.745,2.517,1.74
0.0290,2.831,2.749,3.05
0.1384,3.129,2.696,1.79
0.0619,2.98,2.796,11.97
0.2253,2.701,2.092,12.76
0.2379,2.66,2.027,5.26
0.1158,3.207,2.836,1.40
0.1225,2.806,2.462,15.03
0.0747,3.018,2.792,2.86
0.3392,2.603,1.720,6.91
0.1972,3.177,2.551,13.64
0.2438,2.74,2.072,15.47
0.1331,2.45,2.124,14.77
0.0833,3.208,2.940,17.02
0.2037,2.596,2.067,14.72
0.1147,2.253,1.995,3.57
0.0351,2.999,2.894,9.85
0.0698,3.067,2.853,11.01
0.0782,2.964,2.733,10.63
0.0743,3.052,2.825,3.17
0.1237,2.752,2.412,6.68
0.2033,2.662,2.121,3.60
0.2123,2.685,2.115,12.18
0.0933,2.811,2.548,7.36
0.0895,2.711,2.468,7.55
0.1171,2.798,2.470,9.71
0.0813,2.634,2.420,14.43
0.0556,3.108,2.935,17.73
0.1256,2.21,1.932,6.02
0.1614,2.731,2.290,5.12
0.1434,2.42,2.073,5.26
0.1237,2.91,2.550,1.82
0.0754,2.659,2.459,14.75
0.1159,3.055,2.701,11.47
0.1299,2.634,2.291,11.45
0.0399,3.105,2.981,15.25
0.0863,3.146,2.874,13.20
0.2349,3.955,3.026,3.10
0.1681,2.642,2.198,2.84
0.0679,2.355,2.195,6.22
0.1562,2.805,2.367,10.56
0.1167,2.482,2.192,6.20
0.2055,2.996,2.380,1.41
0.1606,3.122,2.621,6.46
0.1405,3.069,2.637,9.52
0.0311,2.64,2.558,6.85
0.1675,2.774,2.309,8.01
0.1496,2.698,2.294,12.05
0.1249,2.647,2.316,3.48
0.1148,2.944,2.606,3.59
0.1463,2.683,2.290,12.81
0.1315,2.833,2.461,10.73
0.0430,2.963,2.836,8.83
0.1283,3.031,2.642,9.60
0.0852,2.854,2.610,13.17
0.1356,2.866,2.477,12.78
0.0238,3.132,3.058,8.89
0.0077,3.089,3.066,10.35
0.1673,3.179,2.647,1.39
0.1084,2.996,2.672,8.79
0.0791,3.055,2.813,7.83
0.1117,2.273,2.019,5.69
0.0404,3.183,3.054,9.52
0.1591,2.729,2.295,6.13
0.1032,3.001,2.691,11.48
0.0878,2.973,2.712,9.01
0.0856,2.616,2.392,2.02
0.0563,3.123,2.947,5.55
0.1031,3.162,2.836,11.60
0.0527,3.064,2.902,8.02
0.0975,3.157,2.849,7.48
0.1976,3.199,2.567,1.07
0.2145,3.049,2.395,3.17
0.0226,3.239,3.165,6.20
0.1867,3.209,2.610,15.09
0.1223,3.045,2.673,0.87
0.1429,2.761,2.366,10.43
0.1099,3.166,2.818,19.08
0.1233,2.581,2.263,16.14
0.1285,2.761,2.406,11.84
0.1474,3.227,2.751,10.48
0.1781,3.33,2.737,10.36
0.2281,2.758,2.129,7.51
0.1438,3.159,2.705,9.59
0.1054,3.18,2.845,16.56
0.0474,3.227,3.074,8.38
0.1181,3.008,2.652,10.94
0.1967,2.947,2.368,6.82
0.2273,2.624,2.028,11.29
0.1634,3.178,2.659,0.23
0.1030,2.954,2.650,2.35
0.0385,3.103,2.984,9.20
0.0539,3.137,2.968,16.75
0.1653,3.182,2.656,2.17
0.1805,3.162,2.591,1.92
0.0627,3.19,2.990,9.19
0.1715,3.16,2.618,21.01
0.0498,3.234,3.073,11.97
0.1228,3.072,2.694,10.74
0.0795,3.167,2.915,13.81
0.0907,5.278,4.799,4.68
0.0574,5.175,4.877,3.91
0.1275,3.099,2.703,2.55
0.0979,3.198,2.885,8.37
0.1026,3.153,2.830,11.98
0.0623,2.999,2.812,9.81
0.0623,5.225,4.900,5.29
0.0817,5.209,4.784,28.67
0.0824,5.127,4.704,20.06
0.0637,3.003,2.812,10.62
0.0483,5.121,4.874,17.23
0.1928,2.422,1.955,6.53
0.1277,5.276,4.602,11.44
0.1895,2.659,2.156,13.49
0.3230,3.851,2.607,25.71
0.1006,2.665,2.397,16.18
0.1325,2.601,2.257,15.40
0.1773,2.751,2.263,9.10
0.0850,3.477,3.181,8.71
0.2481,2.699,2.029,4.78
0.3443,2.779,1.822,14.07
0.1483,3.205,2.729,10.09
0.0529,2.968,2.811,8.64
0.0525,3.191,3.024,14.56
0.2038,3.153,2.510,1.81
0.0709,2.97,2.759,9.99
0.1318,3.108,2.698,11.83
0.1688,2.78,2.311,7.99
0.0822,2.991,2.745,10.36
0.1133,2.997,2.657,2.45
0.1631,3.157,2.642,22.95
0.0319,2.656,2.571,21.06
0.2159,3.104,2.434,15.37
0.1739,3.186,2.632,27.07
0.0673,2.674,2.494,15.11
0.1011,2.921,2.626,7.08
0.2600,3.18,2.353,9.48
0.1892,2.786,2.259,11.10
0.1211,2.564,2.253,2.98
0.2840,2.327,1.666,21.15
0.2121,2.581,2.033,10.18
0.2093,2.605,2.060,7.26
0.1576,2.754,2.320,6.13
0.1622,3.21,2.689,0.42
0.2543,2.586,1.929,12.97
0.1578,2.657,2.238,12.77
0.1970,2.66,2.136,2.80
0.1390,2.461,2.119,5.58
0.1377,3.046,2.627,9.29
0.0206,3.122,3.058,23.33
0.1974,2.991,2.400,8.24
0.0377,2.557,2.460,9.00
0.1926,2.624,2.119,15.34
0.0425,3.078,2.947,11.27
0.1057,2.646,2.366,9.95
0.1343,2.635,2.281,15.51
0.1135,2.695,2.389,13.48
0.1932,2.577,2.079,14.03
0.0914,3.143,2.855,10.59
0.1013,3.079,2.767,9.88
0.2024,2.677,2.135,2.07
0.2176,2.949,2.307,1.39
0.0752,2.772,2.564,6.22
0.2008,3.182,2.543,11.85
0.0762,3.082,2.847,10.66
0.2714,2.611,1.902,11.73
0.1638,2.697,2.255,12.42
0.1372,2.56,2.209,7.04
0.1069,2.551,2.278,14.99
0.1782,2.557,2.101,3.03
0.1356,2.764,2.389,5.92
0.0221,2.395,2.342,1.62
0.1660,2.391,1.994,6.40
0.0427,2.552,2.443,6.03
0.0430,2.389,2.286,5.94
0.0737,2.984,2.764,8.20
0.0473,2.987,2.846,9.75
0.0729,2.986,2.768,8.36
0.0041,2.742,2.731,4.99
0.2080,2.727,2.159,7.02
0.0339,2.971,2.870,9.33
0.1867,3.212,2.612,3.60
0.0765,2.964,2.737,9.53
0.1267,2.559,2.234,7.49
0.1102,2.527,2.249,12.96
0.1041,2.772,2.484,9.29
0.1912,3.107,2.513,17.92
0.0743,2.791,2.584,1.18
0.0958,2.565,2.320,12.91
0.1689,3.185,2.647,2.12
0.1015,3.139,2.821,10.70
0.0695,3.128,2.910,5.57
0.2733,2.538,1.844,10.66
0.1658,3.19,2.661,0.95
0.1738,3.187,2.633,1.75
0.0862,2.762,2.524,4.97
0.1578,2.768,2.331,2.93
0.0998,3.156,2.841,5.92
0.1506,3.182,2.703,2.67
0.2020,3.139,2.505,9.86
0.1326,3.164,2.744,2.06
0.1010,2.8,2.517,9.53
0.2207,2.777,2.164,7.30
0.1813,3.167,2.593,9.73
0.0742,2.271,2.103,5.49
0.1733,2.534,2.095,7.23
0.0651,5.174,4.837,7.88
0.0975,2.303,2.078,8.49
0.0415,5.259,5.041,14.89
0.0609,5.191,4.875,19.76
0.0133,5.2,5.131,24.16
0.1785,2.852,2.343,4.80
0.0952,2.851,2.580,15.31
0.3151,2.768,1.896,5.29
0.2126,3.087,2.431,15.61
0.0892,3.193,2.908,10.27
0.1127,2.965,2.630,10.38
0.3360,2.718,1.804,11.14
0.1943,3.12,2.514,10.93
0.0425,3.171,3.036,21.32
0.1890,2.423,1.965,2.62
0.1339,2.272,1.968,5.60
0.0807,3.152,2.898,9.26
0.0611,2.374,2.229,5.94
0.1690,2.667,2.216,10.85
0.1788,2.656,2.181,11.59
0.0727,3.2,2.968,4.95
0.1705,3.14,2.605,2.49
0.1962,3.141,2.525,21.61
0.1145,3.153,2.792,2.19
0.2054,2.697,2.143,14.46
0.1627,3.176,2.659,4.24
0.1303,3.966,3.450,1.96
0.1151,2.951,2.612,9.83
0.2904,2.335,1.657,26.81
0.0135,3.249,3.205,9.89
0.2066,2.222,1.763,6.53
0.3427,2.382,1.565,8.29
0.2488,2.383,1.790,5.15
0.2277,2.355,1.819,25.57
0.0983,2.715,2.448,8.21
0.1930,2.31,1.865,24.71
0.0582,2.339,2.203,7.10
0.1251,2.343,2.050,6.52
0.0451,2.992,2.857,7.74
0.0555,2.382,2.250,7.52
0.2027,2.551,2.034,10.93
0.0743,2.534,2.346,13.26
0.1984,2.63,2.108,26.82
0.2551,2.56,1.907,12.63
0.0622,5.216,4.892,24.68
0.0350,5.226,5.043,4.36
0.0611,5.231,4.912,21.00
0.1752,2.62,2.161,13.28
0.1123,2.696,2.393,4.50
0.1005,2.746,2.470,8.82
0.1398,2.696,2.319,12.51
0.1280,2.71,2.363,7.82
0.2149,2.399,1.883,10.02
0.2749,2.273,1.648,4.49
0.2282,2.454,1.894,1.91
0.1682,2.53,2.105,13.79
0.1632,3.158,2.643,2.05
0.0333,5.241,5.066,2.08
0.0607,5.205,4.889,4.70
0.1832,2.527,2.064,5.33
0.0809,2.716,2.496,9.82
0.2844,2.734,1.956,17.95
0.1665,2.285,1.904,6.18
0.1499,2.288,1.945,7.51
0.1794,2.28,1.871,4.21
0.1105,2.265,2.015,4.34
0.2402,2.341,1.778,10.00
0.2039,2.313,1.841,4.28
0.1328,2.283,1.980,5.97
0.1804,2.277,1.866,5.01
0.6810,2.436,0.777,8.74
0.1932,3.034,2.448,5.65
0.1485,2.302,1.960,4.36
0.2142,2.361,1.856,4.68
0.1242,2.333,2.043,5.91
0.0747,2.336,2.161,6.83
0.1402,3.142,2.701,15.30
0.1362,2.432,2.101,3.75
0.2019,2.657,2.120,12.23
0.1052,2.483,2.222,6.17
0.3241,2.71,1.832,16.84
0.2554,2.675,1.991,27.37
0.0587,2.794,2.630,3.34
0.0949,3.01,2.725,10.88
0.1624,2.782,2.330,8.68
0.0768,2.766,2.553,11.28
0.1930,2.763,2.230,9.10
0.2884,2.855,2.032,8.59
0.1081,1.827,1.629,26.65
0.2538,2.272,1.695,24.64
0.1619,2.25,1.885,5.66
0.1088,3.162,2.818,2.02
0.1586,2.273,1.913,4.97
0.1413,3.212,2.758,9.61
0.1687,3.168,2.634,9.24
0.1427,3.16,2.709,5.67
0.2291,3.079,2.374,1.58
0.1482,2.368,2.017,6.48
0.0718,3.131,2.906,1.90
0.1989,3.085,2.471,1.74
0.1149,2.325,2.058,5.06
0.1036,3.159,2.831,2.40
0.1005,3.153,2.836,7.76
0.0808,3.172,2.915,21.57
0.1475,3.147,2.683,9.27
0.1282,2.577,2.247,15.20
0.0945,2.519,2.281,7.27
0.1603,2.602,2.185,13.14
0.1452,2.613,2.233,13.98
0.1829,2.659,2.173,13.70
0.2103,2.687,2.122,14.01
0.1269,2.685,2.344,14.07
0.2372,2.87,2.189,4.11
0.0427,2.946,2.820,3.33
0.1518,3.158,2.679,3.54
0.1906,2.256,1.826,6.77
0.1505,3.123,2.653,10.15
0.0683,2.993,2.788,2.79
0.1169,2.994,2.644,8.81
0.0250,3.054,2.978,8.59
0.1578,3.163,2.664,6.44
0.0919,2.923,2.654,2.48
0.0398,3.146,3.021,3.55
0.0599,3.03,2.848,9.70
0.1275,3.249,2.835,0.98
0.0958,3.118,2.819,1.42
0.0939,3.179,2.880,5.28
0.0490,3.02,2.872,1.71
0.0779,3.11,2.868,22.51
0.0805,3.032,2.788,12.04
0.1241,3.176,2.782,25.86
0.1020,2.299,2.064,5.54
0.1108,2.548,2.266,11.13
0.2839,2.55,1.826,13.33
0.1225,2.607,2.287,15.34
0.1932,2.43,1.960,9.13
0.2629,2.428,1.790,13.15
0.1636,2.651,2.217,16.28
0.1090,2.566,2.286,13.79
0.1830,2.485,2.030,15.26
0.2907,2.579,1.829,7.17
0.1753,2.562,2.113,5.31
0.1178,1.904,1.679,27.81
0.1234,2.684,2.353,12.78
0.1168,2.579,2.278,3.05
0.1128,2.623,2.327,11.69
0.1467,2.684,2.290,13.53
0.1580,2.618,2.204,4.30
0.0981,2.716,2.449,22.09
0.0655,5.203,4.863,22.86
0.1784,2.752,2.261,7.75
0.2264,2.934,2.270,10.91
0.0863,3.07,2.805,10.16
0.1382,2.689,2.318,13.60
0.1818,3.171,2.594,1.55
0.0619,3.257,3.055,10.15
0.1733,3.191,2.638,6.89
0.1866,3.175,2.583,22.75
0.0801,1.966,1.808,22.05
0.1207,2.259,1.987,7.13
0.3021,2.335,1.630,22.94
0.1783,2.275,1.869,7.07
0.1299,2.324,2.022,5.98
0.2613,2.294,1.694,23.48
0.2777,2.317,1.673,21.17
0.1237,2.557,2.240,11.67
0.2812,2.443,1.756,7.80
0.1816,2.786,2.280,8.83
0.1000,2.418,2.176,6.84
0.0992,2.597,2.340,12.98
0.1484,2.438,2.076,3.38
0.1270,2.8,2.445,8.15
0.2328,3.197,2.453,0.42
0.3873,3.135,1.921,23.76
0.1459,3.134,2.677,20.17
0.1772,3.153,2.594,1.99
0.1091,3.17,2.824,4.54
0.1444,3.204,2.741,1.04
0.0878,3.112,2.838,2.76
0.0967,2.778,2.509,9.34
0.1938,3.124,2.518,2.34
0.1684,3.166,2.633,11.29
0.1600,2.974,2.498,2.45
0.0631,2.948,2.762,1.35
0.1551,3.071,2.595,8.47
0.2057,3.146,2.499,2.75
0.0308,3.102,3.006,22.48
0.1359,3.069,2.652,8.75
0.0892,3.168,2.886,9.13
0.1187,2.99,2.635,1.62
0.0493,3.004,2.856,11.27
0.0936,3.215,2.914,9.32
0.0424,3.095,2.964,14.14
0.0805,3.152,2.899,17.40
0.1213,3.136,2.756,17.68
0.1084,3.04,2.711,12.00
0.1403,3.201,2.752,11.75
0.2029,2.247,1.791,7.00
0.1028,3.108,2.789,12.99
0.1620,2.221,1.861,8.94
0.1385,2.262,1.949,4.37
0.1197,3.982,3.505,3.47
0.0848,2.24,2.050,2.50
0.1387,2.359,2.032,6.40
0.1043,2.382,2.134,6.87
0.0499,2.359,2.242,4.02
0.1297,5.253,4.572,7.28
0.0973,2.281,2.059,5.16
0.1220,2.422,2.127,3.76
0.2499,2.421,1.816,13.56
0.1862,2.62,2.132,7.95
0.0770,2.572,2.374,7.94
0.1463,2.545,2.172,12.92
0.1623,2.689,2.252,13.67
0.0410,2.849,2.732,3.17
0.0802,2.643,2.431,14.11
0.0652,2.837,2.652,2.38
0.0467,2.635,2.512,4.03
0.1009,2.591,2.329,15.74
0.0834,2.838,2.602,0.92
0.1333,2.636,2.284,14.83
0.0781,2.628,2.423,14.46
0.1835,2.686,2.194,12.65
0.3119,2.725,1.875,12.26
0.0445,3.005,2.872,11.05
0.0718,2.943,2.732,11.93
0.0827,2.778,2.548,4.18
0.0575,2.631,2.480,7.99
0.0306,2.816,2.730,3.11
0.0331,2.606,2.520,22.33
0.0418,3.106,2.976,8.78
0.0858,3.096,2.830,9.72
0.1000,2.858,2.572,6.71
0.1197,3.012,2.651,9.65
0.1808,2.594,2.125,15.78
0.0877,3.105,2.833,1.41
0.1899,3.199,2.592,14.77
0.1773,2.851,2.346,12.45
0.1044,3.12,2.794,6.03
0.1432,2.965,2.541,6.66
0.0398,3.046,2.925,8.19
0.0962,2.961,2.676,8.44
0.2095,3.17,2.506,7.53
0.1848,3.192,2.602,1.24
0.1364,3.109,2.685,3.28
0.1051,3.008,2.692,10.10
0.0817,3.023,2.776,5.95
0.1882,3.204,2.601,10.47
0.0894,2.986,2.719,10.71
0.1596,3.144,2.642,3.12
0.2155,3.359,2.635,18.76
0.0777,3.02,2.786,9.75
0.2267,3.067,2.372,22.88
0.1064,3.954,3.533,2.71
0.2826,2.292,1.645,22.54
0.1347,2.207,1.909,5.52
0.1411,2.279,1.957,23.01
0.1953,2.62,2.108,12.13
0.0687,2.199,2.048,3.87
0.1278,2.402,2.095,5.48
0.0746,2.222,2.056,7.57
0.1926,2.716,2.193,6.87
0.1429,2.553,2.188,12.11
0.0786,2.308,2.127,3.60
0.0669,2.296,2.142,6.79
0.0599,2.462,2.314,16.49
0.0899,2.275,2.070,5.37
0.0826,2.42,2.220,7.54
0.1063,2.291,2.048,4.62
0.1884,2.449,1.988,2.54
0.0576,2.311,2.178,3.60
0.0800,2.558,2.354,15.34
0.2157,2.537,1.990,13.10
0.1792,2.289,1.879,6.06
0.2294,2.315,1.784,23.57
0.0769,2.723,2.514,4.45
0.0434,2.87,2.745,0.94
0.0585,2.318,2.183,4.38
0.1545,2.386,2.018,3.20
0.2795,2.586,1.863,9.47
0.0983,2.598,2.342,4.26
0.2613,2.421,1.788,24.01
0.1195,2.841,2.501,0.86
0.1744,2.684,2.216,11.59
0.1060,2.459,2.199,7.29
0.0993,2.643,2.380,11.17
0.1369,3.179,2.744,19.06
0.1913,2.444,1.976,3.45
0.4203,2.784,1.614,27.97
0.2837,2.86,2.048,16.66
0.0663,1.934,1.806,23.75
0.1810,2.524,2.067,4.21
0.0387,2.651,2.548,15.88
0.1534,2.645,2.239,13.07
0.1750,2.81,2.318,10.35
0.1123,2.597,2.305,14.03
0.1302,2.619,2.278,3.58
0.1847,2.752,2.244,3.45
0.1355,2.62,2.265,5.11
0.2794,2.624,1.891,3.06
0.0458,2.98,2.844,8.10
0.0944,2.423,2.195,7.48
0.1332,2.837,2.459,20.66
0.0400,2.801,2.689,4.80
0.0547,2.918,2.758,1.31
0.1096,3.072,2.735,10.31
0.1250,2.595,2.271,14.06
0.0828,2.921,2.679,2.64
0.0802,2.593,2.385,14.07
0.2146,2.87,2.254,14.07
0.0309,2.72,2.636,12.67
0.1297,3.16,2.750,6.25
0.1365,2.596,2.242,14.32
0.0783,2.758,2.542,13.42
0.0859,3.184,2.911,5.08
0.1013,2.642,2.374,4.78
0.1725,3.043,2.518,2.42
0.1358,2.925,2.528,10.64
0.1273,2.531,2.208,17.35
0.0905,2.691,2.448,13.12
0.1099,2.943,2.619,3.00
0.1723,3.132,2.593,17.28
0.2017,2.684,2.142,13.21
0.1561,2.891,2.440,2.16
0.1287,2.63,2.291,2.23
0.1016,2.753,2.474,10.33
0.1546,2.55,2.156,8.81
0.1403,3.085,2.652,1.34
0.1449,2.629,2.248,12.77
0.1738,2.679,2.213,11.46
0.1484,2.687,2.288,14.21
0.2324,2.578,1.979,9.37
0.0184,2.858,2.805,12.23
0.0603,2.985,2.805,11.03
0.0907,2.975,2.705,9.24
0.1013,2.985,2.683,9.43
0.0207,2.923,2.863,1.18
0.0236,3.36,3.281,3.10
0.1985,2.593,2.079,12.01
0.1836,2.79,2.278,7.33
0.0174,3.043,2.990,13.69
0.2068,3.094,2.455,12.12
0.0722,2.978,2.763,10.32
0.1453,3.212,2.746,3.33
0.0438,2.879,2.753,2.80
0.1564,2.57,2.168,7.38
0.1520,3.074,2.607,12.55
0.0860,3.055,2.793,23.68
0.2638,3.246,2.390,1.58
0.0824,3.084,2.830,11.36
0.0990,3.058,2.755,12.06
0.1119,3.169,2.814,22.92
0.1259,2.954,2.583,2.45
0.2065,2.753,2.184,9.03
0.0735,3.138,2.907,5.08
0.1832,2.581,2.109,13.05
0.1065,2.962,2.646,10.13
0.0747,2.997,2.774,10.73
0.1430,2.782,2.385,6.87
0.1938,2.729,2.200,5.47
0.2336,2.802,2.147,8.48
0.1219,2.763,2.426,4.64
0.0973,2.469,2.229,4.88
0.0286,3.004,2.918,5.14
0.0884,3.018,2.751,4.84
0.0664,3.06,2.856,3.21
0.1108,3.018,2.684,10.60
0.1253,2.638,2.307,10.28
0.1340,2.724,2.359,8.11
0.0636,2.997,2.807,9.19
0.0968,3.14,2.836,1.72
0.1413,3.125,2.684,1.16
0.0802,3.068,2.822,10.55
0.1185,3.122,2.752,5.53
0.0580,3.022,2.846,10.10
0.0569,2.828,2.667,0.96
0.0697,3.139,2.920,1.27
0.3222,2.69,1.823,5.92
0.1914,3.197,2.585,2.07
0.0329,3.058,2.958,11.79
0.1064,2.75,2.457,9.03
0.1429,3.052,2.616,2.45
0.1453,3.961,3.385,7.73
0.1264,3.072,2.684,15.79
0.0765,2.98,2.752,10.08
0.0235,2.997,2.927,9.03
0.0884,2.996,2.731,11.01
0.0422,3.021,2.893,9.24
0.0407,3.104,2.978,2.17
0.1356,3.167,2.738,2.70
0.1500,3.094,2.630,0.79
0.2410,3.306,2.509,1.71
0.0655,3.006,2.809,9.70
0.2140,3.076,2.418,2.84
0.1096,3.015,2.685,10.02
0.0814,2.976,2.734,10.11
0.1195,3.1,2.730,5.72
0.1999,3.019,2.416,5.74
0.0796,3.093,2.847,16.32
0.0876,2.977,2.717,10.92
0.0777,2.988,2.756,9.26
0.0163,3.063,3.013,10.37
0.0457,3.071,2.931,8.97
0.0470,2.982,2.842,9.08
0.0562,3.05,2.879,9.36
0.1571,3.177,2.678,9.77
0.0982,3.048,2.749,6.68
0.0594,3.227,3.036,16.03
0.0569,2.843,2.682,3.93
0.0825,3.118,2.860,6.90
0.1106,2.807,2.497,9.26
0.1360,3.098,2.677,1.81
0.1570,2.998,2.527,13.32
0.2694,3.178,2.322,0.75
0.0339,3.206,3.097,21.48
0.1118,3.207,2.849,14.47
0.0576,3.191,3.007,16.44
0.0825,3.199,2.936,5.89
0.1794,3.178,2.608,2.72
0.1242,2.778,2.433,13.33
0.0196,3.055,2.996,9.80
0.0138,3.055,3.013,10.59
0.0286,2.976,2.891,10.33
0.0220,3.18,3.110,10.88
0.1044,3.143,2.814,6.29
0.0712,3.174,2.947,6.23
0.1929,3.155,2.546,10.42
0.0411,3.009,2.885,11.32
0.1897,3.027,2.453,1.66
0.1024,3.186,2.860,10.56
0.1215,3.189,2.802,1.44
0.0603,3.193,3.000,23.47
0.0836,3.086,2.828,9.16
0.0779,3.056,2.818,10.19
0.0582,3.977,3.745,9.57
0.1876,3.206,2.605,14.26
0.0814,3.204,2.943,23.19
0.0735,3.033,2.810,16.97
0.0775,5.226,4.821,24.41
0.0388,5.343,5.135,7.48
0.0871,1.932,1.764,21.69
0.0916,2.392,2.173,7.17
0.1417,2.379,2.042,7.63
0.1938,2.272,1.832,23.06
0.1985,2.619,2.099,11.89
0.0845,2.229,2.041,2.96
0.2070,2.423,1.921,8.03
0.3163,2.33,1.593,24.24
0.2541,2.917,2.176,15.25
0.1303,3.053,2.655,3.44
0.0766,2.188,2.021,6.66
0.1009,2.623,2.359,14.78
0.1920,2.572,2.078,19.80
0.0366,2.242,2.160,8.99
0.1184,2.6,2.292,12.88
0.0990,2.185,1.969,4.44
0.1396,2.556,2.199,14.53
0.0957,2.24,2.026,4.59
0.0503,2.205,2.094,4.43
0.0621,2.586,2.425,15.54
0.1030,2.301,2.064,8.27
0.2258,2.308,1.787,2.80
0.2563,2.431,1.808,11.75
0.1019,2.593,2.329,14.68
0.1379,2.668,2.300,7.60
0.1782,2.535,2.083,16.48
0.1071,2.238,1.999,5.00
0.1730,2.483,2.053,5.69
0.1164,2.607,2.303,16.22
0.1510,2.362,2.005,3.07
0.1310,2.322,2.018,6.50
0.2691,2.275,1.663,6.84
0.0573,2.359,2.224,7.33
0.0402,2.635,2.529,22.90
0.0373,2.311,2.225,7.58
0.0683,2.313,2.155,11.56
0.1959,2.46,1.978,8.82
0.0912,2.368,2.152,1.27
0.1036,2.437,2.184,11.91
0.1027,2.31,2.073,7.93
0.2650,2.76,2.028,9.89
0.2572,2.979,2.213,19.29
0.0853,2.196,2.008,5.37
0.1038,2.234,2.002,4.75
0.0958,2.619,2.368,4.18
0.1622,2.305,1.931,5.42
0.1285,2.434,2.121,1.84
0.1116,2.416,2.146,6.32
0.1184,2.56,2.257,15.27
0.0555,2.141,2.022,2.41
0.0684,2.302,2.145,7.50
0.2667,2.394,1.755,10.74
0.1751,2.806,2.314,8.81
0.1655,2.289,1.910,5.09
0.0673,2.761,2.576,4.67
0.1747,3.145,2.596,15.89
0.1739,2.643,2.183,7.02
0.1876,2.675,2.173,14.36
0.1778,2.254,1.854,7.83
0.1460,2.558,2.185,6.87
0.1787,2.255,1.852,7.79
0.1177,2.42,2.135,3.46
0.1279,2.399,2.092,3.17
0.1561,2.344,1.978,5.38
0.0785,2.229,2.054,6.05
0.2098,2.291,1.810,6.76
0.0912,2.694,2.449,5.14
0.1210,2.285,2.009,6.01
0.1618,2.34,1.961,7.17
0.0745,2.328,2.154,6.53
0.0843,3.08,2.820,0.23
0.2584,2.931,2.174,16.92
0.2046,2.653,2.110,14.64
0.1340,2.685,2.325,12.44
0.0429,2.756,2.638,8.16
0.0997,2.406,2.166,6.85
0.1391,2.457,2.115,5.55
0.0059,2.457,2.442,3.13
