"e","a","q","i"
0.1793,2.76,2.265,11.70
0.0359,2.45,2.362,5.18
0.1680,3.993,3.322,6.18
0.0877,2.895,2.641,11.52
0.2461,2.403,1.812,6.80
0.2979,2.599,1.825,11.99
0.2375,2.617,1.995,18.51
0.0414,2.881,2.762,6.97
0.0150,3.114,3.067,7.26
0.1632,2.74,2.292,8.79
0.2280,2.459,1.898,9.32
0.1825,3.162,2.585,15.47
0.1328,2.738,2.375,6.90
0.1792,2.679,2.199,5.76
0.1042,3.07,2.750,8.85
0.0596,2.737,2.574,3.17
0.1736,2.671,2.207,8.29
0.0372,2.78,2.677,10.70
0.0395,2.741,2.632,3.78
0.0296,2.284,2.217,3.80
0.0107,2.891,2.861,1.74
0.0551,3.147,2.973,7.17
0.1244,2.723,2.384,5.26
0.1551,3.047,2.574,3.87
0.1029,3.117,2.796,4.28
0.1441,2.753,2.356,6.80
0.0304,2.611,2.531,3.44
0.0338,2.767,2.673,1.68
0.2513,2.794,2.092,13.12
0.3104,2.866,1.976,10.52
0.1167,2.668,2.356,15.20
0.2231,2.355,1.829,10.86
0.2578,2.348,1.743,7.60
0.1019,3.011,2.704,10.89
0.1308,3.141,2.730,2.15
0.1201,3.091,2.720,1.92
0.0451,2.644,2.525,5.85
0.2625,3.394,2.503,20.85
0.2039,2.711,2.159,15.97
0.1931,3.173,2.561,9.09
0.2420,2.201,1.668,2.54
0.1370,3.421,2.952,2.08
0.0618,2.382,2.235,9.45
0.1546,2.924,2.472,5.09
0.1742,2.552,2.108,6.07
0.0997,2.659,2.394,7.69
0.2451,2.386,1.801,15.38
0.0611,2.883,2.707,9.03
0.1906,2.797,2.264,7.70
0.0712,2.763,2.566,9.75
0.0908,2.905,2.641,12.42
0.2364,2.967,2.266,6.18
0.2087,2.663,2.107,2.11
0.1047,3.05,2.731,5.50
0.1221,2.861,2.512,11.35
0.0442,2.861,2.735,1.13
0.1373,2.174,1.876,2.85
0.1975,3.097,2.486,5.18
0.1087,2.694,2.402,15.62
0.2461,2.74,2.065,24.96
0.0673,2.471,2.304,4.06
0.2172,2.378,1.862,9.62
0.1361,3.144,2.717,12.82
0.0933,3.096,2.807,10.55
0.0663,3.162,2.953,10.04
0.2637,2.648,1.950,6.74
0.1214,2.195,1.928,4.51
0.0789,2.746,2.529,9.46
0.0651,2.999,2.804,13.33
0.1122,3.12,2.770,3.61
0.2053,2.615,2.078,14.33
0.1298,3.131,2.724,10.81
0.1079,3.449,3.076,6.42
0.0899,2.331,2.122,3.63
0.2116,2.553,2.013,7.67
0.0788,2.885,2.658,1.32
0.1359,2.797,2.417,10.43
0.2670,2.42,1.774,25.65
0.1543,2.806,2.373,13.40
0.1009,2.776,2.496,6.01
0.1367,3.094,2.671,2.44
0.2132,2.617,2.059,5.48
0.1500,2.199,1.869,2.37
0.1050,3.008,2.692,3.54
0.0290,2.778,2.698,4.43
0.1599,2.395,2.012,20.45
0.1182,3.048,2.688,3.68
0.1633,2.77,2.318,4.76
0.0633,3.124,2.926,21.66
0.0926,2.886,2.619,1.17
0.1335,2.757,2.389,7.83
0.0439,4.264,4.077,2.33
0.1106,2.941,2.616,7.44
0.1318,2.188,1.900,5.30
0.0815,2.338,2.148,9.04
0.1444,3.05,2.610,7.99
0.2214,2.359,1.837,8.05
0.2041,3.089,2.458,17.61
0.0240,3.192,3.116,17.94
0.0226,2.353,2.300,10.04
0.2058,2.761,2.192,4.34
0.2019,2.876,2.296,6.68
0.2580,2.337,1.734,22.34
0.0931,2.222,2.015,1.86
0.0329,2.53,2.447,14.89
0.1029,2.867,2.572,15.59
0.2330,3.156,2.421,6.26
0.1674,2.797,2.329,2.70
0.1601,2.229,1.872,1.75
0.1393,3.167,2.726,7.55
0.0963,2.263,2.046,6.29
0.0627,2.434,2.281,1.61
0.0595,3.212,3.021,0.73
0.0662,2.726,2.545,4.90
0.1102,2.406,2.141,3.41
0.0565,3.122,2.946,6.89
0.2216,2.403,1.870,15.85
0.1963,3.09,2.483,4.45
0.1509,2.358,2.002,7.28
0.1439,2.907,2.489,6.12
0.0391,2.75,2.642,4.36
0.1137,2.665,2.362,3.71
0.1167,2.76,2.438,3.17
0.0056,2.898,2.881,3.22
0.1604,2.781,2.335,9.04
0.1819,2.374,1.942,11.65
0.1713,3.16,2.619,12.52
0.1687,2.241,1.863,2.43
0.1276,3.181,2.775,2.35
0.0855,2.287,2.091,1.77
0.0850,3.192,2.921,10.66
0.2160,3.415,2.677,10.57
0.1163,3.011,2.660,9.39
0.0474,2.884,2.747,2.59
0.2447,2.784,2.103,8.04
0.2997,2.382,1.668,24.26
0.3413,2.68,1.766,11.10
0.1513,3.215,2.729,8.57
0.1896,2.318,1.878,23.72
0.0609,2.775,2.606,7.14
0.1073,3.108,2.775,16.13
0.0253,2.477,2.415,15.88
0.2519,2.47,1.848,6.76
0.0959,3.027,2.737,6.04
0.0884,2.772,2.527,2.85
0.1600,3.132,2.631,3.74
0.0250,3.894,3.796,4.64
0.1723,2.476,2.049,5.10
0.0953,2.252,2.037,5.65
0.1364,2.384,2.059,7.86
0.0182,2.911,2.858,6.04
0.0992,3.012,2.713,9.97
0.1171,2.746,2.424,4.67
0.1943,2.2,1.772,5.67
0.1302,2.567,2.233,7.35
0.2299,2.411,1.857,3.26
0.3140,2.595,1.780,18.35
0.0620,2.325,2.180,9.75
0.1032,2.797,2.508,8.75
0.1641,2.616,2.186,11.67
0.0714,2.969,2.757,9.76
0.0895,2.923,2.662,8.25
0.1602,3.107,2.609,24.90
0.1560,2.766,2.334,9.21
0.1494,2.194,1.866,3.38
0.3280,2.735,1.838,5.71
0.1115,2.801,2.489,18.36
0.1060,2.538,2.269,4.29
0.2414,2.755,2.090,8.20
0.0776,3.151,2.906,15.05
